Setsuko           Monkes            Tzenmire          Hoddy
Elumbrosba        Ruikhan           Zaj               Snooshezis
Ronvir            Dervingrad        Jateloos          Merokai
Villorn           Scorpa            Uchiwa            Alfryd
Anubisa           Felhik            Usami             Draacon
Cidven            Atilio            Corsial           Karmella
Jver              Lriat             Aeroals           Gnomageddon
Riffin            Uatro             Nyuba             Grummis
Fozi              Eltran            Huebald           Rhaivan
Tarine            Sisstar           Bumpur            Retrone
